id,trigger,conditions,script,text,options,notes
gateOpenDialogCanScan1a,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","아다만틴 재질의 조용한 고리, 버려진 옛 시대의 것입니다.
 
당신은 이 관문을 스캔하여 공간의 틈새에 숨겨진 사물의 비밀 심장의 리듬을 발견했습니다.",,
gateOpenDialogCanScan2,OpenInteractionDialog,"$tag:gate
$global.canScanGates
$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","금강 재질로 만든 조용한 고리, 버려진 옛 시대의 것입니다.
 
센서 담당자가 고개를 끄덕입니다. 초파 스캐너가 준비되었습니다. 명령 인터페이스에서 'EXECUTE SCAN'이라는 단어가 예상대로 깜박입니다.
 
Janus 장치와 함께 Gate 네트워크의 액세스 또는 출구 지점으로 이 Gate를 사용하려면 이 Gate를 스캔해야 합니다.",,
gateFlyThrough,DialogOptionSelected,$option == gateFlyThrough,"$flewThrough = true 0
FireAll PopulateGateOptions","당신은 $shipOrFleet에게 죽은 관문을 통과하도록 명령합니다. 교량 승무원은 통행 중에 특히 조용합니다.
 
아무 일도 일어나지 않습니다.",,
gateScanSelFirstTime,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.numGatesScanned == 0
$global.gaATG_inProgress","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","귀하의 명령 디스플레이는 게이트를 둘러싼 초공간 다양체의 표현과 중첩됩니다. 조용하고 시원하며 운전 중 깨우침이 없습니다.
 
스캔이 시작되면 기함을 나타내는 아이콘과 게이트를 나타내는 아이콘 사이에 중단선이 번쩍이는 것을 볼 수 있습니다. 나선과 잔물결은 비뉴턴 파동으로 쏟아져 나와 게이트 중앙의 한 지점에서 솟아오릅니다. 아니요, 점은 아닙니다. 원, 구, 원환체 및 역깔때기 등이 있습니다. 그리고 눈을 감게 만드는 다른 형태도 있습니다. 멀리서 희미한 음악소리가 들립니다.
 
""함장님?"" 센서 담당관이 당신을 바라보며 ""스캔이 완료되었습니다.""라고 말합니다. 당신은 그들이 이 말을 두 번째로 했다는 것을 깨닫고 마치 생각에 잠긴 것처럼 몸짓을 합니다.",,
gateScanSelDuringMission,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.gaATG_inProgress
$global.numGatesScanned > 0
$global.numGatesScanned < 6","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","명령 디스플레이에는 초공간 다양체의 표현이 표시됩니다. 조용하고 시원합니다.
 
스캔이 시작되고 기함과 게이트 사이에 혼란이 가중됩니다. 나선과 잔물결은 게이트 중앙의 한 지점에서 비뉴턴 폭발로 쏟아지고 급증합니다. 아니요, 점이 아닙니다. 원, 구, 원환체 및 역 깔대기입니다. 그런 다음 구문 분석되지 않는 일부 형상입니다.
 
희미한 음악이 들립니다.
 
""함장님,"" 센서 담당자가 ""스캔이 완료되었습니다.""라고 보고합니다.",,
gateScanSel,DialogOptionSelected,$option == gateScan,"$gateScanned = true
$global.numGatesScanned++
GateCMD notifyScanned
ShowDefaultVisual
FireAll PopulateGateOptions","명령 디스플레이에는 초공간 다양체가 표시됩니다. 조용하고 시원합니다.
 
초차원 디스플레이에서 주사 광선이 번쩍입니다. 나선형과 잔물결이 게이트에서 폭발적으로 쏟아져 나와 상상할 수 없는 기하학적 형태로 솟아오릅니다. 희미한 음악 소리가 들립니다.
 
""함장님,"" 센서 담당자가 ""스캔이 완료되었습니다.""라고 보고합니다.",,
gateUseOptSel,DialogOptionSelected,"$option == gateUse
$global.gatesActive",GateCMD selectDestination,,,
gateFlyThroughOpt,PopulateGateOptions,"!$flewThrough
!$global.gatesActive
!$gateExploded",,,5:gateFlyThrough:게이트로 들어간다,
gateUseOpt,PopulateGateOptions,"$global.gatesActive
$global.playerCanUseGates
$gateScanned",,,10:gateUse:게이트로 떠난다,
gateScanOpt,PopulateGateOptions,"!$gateScanned
$global.canScanGates",,,0:gateScan:게이트를 스캔한다,
gateLeaveOpt,PopulateGateOptions,,,,100:defaultLeave:떠난다,
,,,,,,
# Gate scan count during gaATG,,,,,,
,,,,,,
gaATGgateScanSummaryLuddic,GAATGGateScanSummary,$GAATGluddicPostScan score:1000,"Call $global.gaATG_ref luddicGateFleetMoveBack
unset $GAATGluddicPostScan",,gaATG_gateScanSummaryLuddic2:계속,"# this step is to add a ""Continue"" to break up the huge block of text."
gaATGgateScanSummaryLuddic2,DialogOptionSelected,$option == gaATG_gateScanSummaryLuddic2,FireBest GAATGGateScanSummary,"당신은 당신의 기함에서 경계를 유지한 루드딕 신자들의 일행을 개인적으로 배웅합니다. 그들의 함대가 돌아오고 있습니다. 그들의 집단적인 헌신은 중단되지 않았습니다.
 
""러드의 축복이 당신에게 있기를 바랍니다, 함장님."" 그들의 지도자가 말했습니다. ""귀환한 선지자에게 당신에 대해 좋게 말하겠습니다.""
 
당신은 신학적인 질문을 제기하지 않고 고개를 끄덕이며 수락하는 방법과 셔틀이 만을 떠날 때 정중하게 손을 흔드는 방법을 알고 있습니다.",,
gaATGgateScanEndCheck1,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned >= 6","$global.gaATG_scannedSixGates = true
Call $global.gaATG_ref updateStage
FireAll PopulateGateOptions",,,
gaATGgateScanEndCheck2,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned < 6",FireAll PopulateGateOptions,,,
,,,,,,
,,,,,,
# Gate dev testing options,,,,,,
devGateCanScanOn,PopulateGateOptions,"$global.isDevMode
!$global.canScanGates",SetOptionColor devGateScanOn gray,,"200:devGateScanOn:>> (dev) Turn ON ""allow player to scan gates""",
devGateCanScanOff,PopulateGateOptions,"$global.isDevMode
$global.canScanGates",SetOptionColor devGateScanOff gray,,"200:devGateScanOff:>> (dev) Turn OFF ""allow player to scan gates""",
devGatesActiveOn,PopulateGateOptions,"$global.isDevMode
!$global.gatesActive",SetOptionColor devGateActiveOn gray,,"201:devGateActiveOn:>> (dev) Turn ON ""gates active""",
devGatesActiveOff,PopulateGateOptions,"$global.isDevMode
$global.gatesActive",SetOptionColor devGateActiveOff gray,,"201:devGateActiveOff:>> (dev) Turn OFF ""gates active""",
devGatesPlayerCanUseOn,PopulateGateOptions,"$global.isDevMode
!$global.playerCanUseGates",SetOptionColor devGateCanUseOn gray,,"202:devGateCanUseOn:>> (dev) Turn ON ""player can use gates""",
devGatesPlayerCanUseOff,PopulateGateOptions,"$global.isDevMode
$global.playerCanUseGates",SetOptionColor devGateCanUseOff gray,,"202:devGateCanUseOff:>> (dev) Turn OFF ""player can use gates""",
devGatesExplode,PopulateGateOptions,"$global.isDevMode
!$gateExploded",SetOptionColor devGateExplode gray,,210:devGateExplode:>> (dev) Explode the gate,
devGateCanScanOnSel,DialogOptionSelected,$option == devGateScanOn,"$global.canScanGates = true
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGateCanScanOffSel,DialogOptionSelected,$option == devGateScanOff,"$global.canScanGates = false
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGatesActiveOnSel,DialogOptionSelected,$option == devGateActiveOn,"$global.gatesActive = true
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesActiveOffSel,DialogOptionSelected,$option == devGateActiveOff,"$global.gatesActive = false
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOnSel,DialogOptionSelected,$option == devGateCanUseOn,"$global.playerCanUseGates = true
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOffSel,DialogOptionSelected,$option == devGateCanUseOff,"$global.playerCanUseGates = false
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesExplodeSel,DialogOptionSelected,$option == devGateExplode,"GateCMD explode
$gateExploded = true 0
FireAll PopulateGateOptions",게이트에서 에너지의 급증이 폭발합니다.,,
,,,,,,
,,,,,,
# stellar mirror and shade interactions,,,,,,
stellarMirrorOpenDialog,OpenInteractionDialog,$tag:stellar_mirror,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarMirrorLeave ""ESCAPE""",,stellarMirrorLeave:떠난다,
stellarMirrorLeave,DialogOptionSelected,$option == stellarMirrorLeave,DismissDialog,,,
stellarShadeDialog,OpenInteractionDialog,$tag:stellar_shade,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarShadeLeave ""ESCAPE""",,stellarShadeLeave:떠난다,
stellarShadeLeave,DialogOptionSelected,$option == stellarShadeLeave,DismissDialog,,,
,,,,,,
# Abyssal Lights,,,,,,
abyssalLightBegin,OpenInteractionDialog,$customType == abyssal_light score:1000,"ShowDefaultVisual
FireAll AbyssalLightOptions
$player.sawAbyssalLight = true","차가운 빛이 뷰스크린을 가득 채우고, 초공간 심연의 완전한 어둠을 대비해 뚜렷이 보입니다. 맥동하는 것처럼 보이며, 식별할 수 있는 패턴을 따르지 않고 어두워졌다가 밝아졌습니다. 그것은 불꽃처럼 깜박이거나 통신 신호가 끊어지는 것처럼 깜박이는 것이 아니라... 의식의 가장자리에 있는 무언가처럼 깜박입니다. 그것은...
 
 당신은 리듬을 예측할 수 있다는 것을 알게 됩니다. 듣는 것보다 보는 것이 더 많고, 춤추는 빛이 당신의 비전을 채우고 있습니다...
 
 센서 담당자의 정중한 기침이 당신을 현재로 다시 데려옵니다. ""$PlayerSirOrMadam?""",,
abyssalLightBeginAgain,OpenInteractionDialog,"$customType == abyssal_light score:1000
$player.sawAbyssalLight","ShowDefaultVisual
AddTextSmall ""    - 액티브 센서 버스트를 사용하여 센서 범위 증가\n    - Interdiction Pulse를 사용하여 화상 수준을 높입니다\n    - 일정 광년 동안 지속됩니다\n    - 심해의 라이트 근처에서 사용 시 더 큰 증가"" highlight
FireAll AbyssalLightOptions","차가운 빛이 뷰스크린을 가득 채우고 심연을 뚜렷하게 드러낸다. 미묘한 빛의 파동이 주의를 끌지만 편안함을 보장하지는 않습니다.
 
당신은 머리를 반쯤 흔들고 다음 명령을 내리는 교량 장교에게 주의를 집중합니다.",,
abyssalLight_whatOpt,AbyssalLightOptions,!$player.gotFirstAbyssalLightInfodump,,,"abyssalLight_what:""센서들, 우리는 무엇을 보는 거지?""",
abyssalLight_opsOpt,AbyssalLightOptions,"!$player.askedOpsChiefAboutAbyssalLight
$player.gotFirstAbyssalLightInfodump",,,"abyssalLight_askOps:""Ops. 문제가 있는가? Ops.""",
AbyssalLightLeave,AbyssalLightOptions,,,,defaultLeave:떠난다,
abyssalLight_whatSel,DialogOptionSelected,$option == abyssalLight_what,,"""심연의 빛이군요, $playerSirOrMadam.""
 
당신의 센서 담당관은 이 진술이 전혀 밝지 않은 만큼 명백하다는 것을 재빨리 알아차립니다.
 
""그리고. 우리는 그것이 무엇인지 정확히 모릅니다… 데이터 축소. 일부 학자들은 그것이 일시적인 초공간 준구조체 주위에 암흑 에너지가 자발적으로 축적된 것일 수도 있고, 그것이 무엇이든 물리적 효과를 바꾸는 고차원의 일종의 매듭일 수도 있다고 추측합니다.""
 
 당신의 작전 책임자는 악에 대항하는 일종의 병동인 '모든 봉인이 안전하다고 확인됨'을 나타내는 스페이서 수표를 만들고 있습니다.",abyssalLight_what2:계속,
abyssalLight_whatSel2,DialogOptionSelected,$option == abyssalLight_what2,"AddTextSmall ""    - 액티브 센서 버스트를 사용하여 센서 범위 증가\n    - Interdiction Pulse를 사용하여 화상 수준을 높입니다\n    - 일정 광년 동안 지속됩니다\n    - 심해의 라이트 근처에서 사용 시 더 큰 증가"" highlight
$player.gotFirstAbyssalLightInfodump = true
FireAll AbyssalLightOptions","""그들은 음, 위험한 것으로 알려져 있지 않습니다."" 센서 담당자가 콘솔을 두드리며 계속합니다. ""드라이브 필드는 우리를 안전하게 지켜줘야 합니다.""
 
""매우 불안정한 것 같습니다. 항상 그렇습니다. 제대로 스캔하기가 어렵습니다. 능동 스캔을 시도하거나 차단 펄스를 발사하면 그 결과로 발생하는 방전을 통해 국지적 초공간 지형을 도표화할 수 있을 것입니다.""",,
abyssalLightAskOps,DialogOptionSelected,$option == abyssalLight_askOps,$player.askedOpsChiefAboutAbyssalLight = true,"평소에는 동요하지 않는 작전 책임자가 거의 움츠러들었습니다.
 
""$PlayerSirOrMadam. 아니요, $playerSirOrMadam.""
 
당신은 침묵을 유지하면서 작전자들에게 거부만으로는 대답이 충분하지 않다는 것을 알립니다.
 
""함장님."" Ops는 당신을 직접 봅니다. ""이렇게 초공간 깊은 곳에 있는 일에 간섭하면... 불운이 따른다고 합니다."" Ops는 더 솔직하게 말했습니다. ""나는 기술적인 의견은 없습니다. 승무원 사기의 문제로만 요점을 제기합니다. 단순한 부둣가 미신일 뿐이라고 확신합니다.""","abyssalLight_askOpsOutA:""알겠습니다. 조심하겠습니다. 감사합니다, chief.""
abyssalLight_askOpsOutB:""내 다리에는 그런 미신이 있을 수 없어요. 이해가 되셨나요?""",
abyssalLightAskOpsOutA,DialogOptionSelected,$option == abyssalLight_askOpsOutA,"$player.ethosHumanitarian++
FireAll AbyssalLightOptions","작전 책임자가 ""$PlayerSirOrMadam""이라고 말한 다음 더 이상 아무것도 하지 않기로 결심하고 메인 디스플레이로 돌아갑니다.",,
abyssalLightAskOpsOutB,DialogOptionSelected,$option == abyssalLight_askOpsOutB,"$player.ethosKnowledge++
FireAll AbyssalLightOptions","""알겠습니다, $playerSirOrMadam."" 당신의 작전 책임자는 더 이상 아무것도 하지 않기로 결심하고 메인 디스플레이로 돌아갑니다.",,
,,,,,,
# Rogue giant planet in abyssal space; turbulence in atmosphere,,,,,,
abyssalGasGiantTurbulence,OpenInteractionDialog,"$market.isPlanetConditionMarketOnly
$abyssalGasGiantTurbulence score:100","ShowDefaultVisual
$visited = true","$shipOrFleet이 $entityName.
 
에 접근합니다. 거대한 행성이 $shipOrFleet 아래에서 은하계의 멀리 떨어진 별들 사이에 깊은 냉동 수면에 빠져 나른하게 회전합니다. 중력 압축과 방사성 붕괴의 미미한 물방울이 성간 매체 훨씬 위의 내부를 따뜻하게 하여 차가운 세계를 천천히 휘젓는 활동적인 기상 시스템을 공급합니다.
 
""$PlayerSirOrMadam, I-"" 센서 담당자가 실시간 피드를 가져옵니다. 센서 하위 제품군에서. 이것이 Tactical의 주목을 받습니다.
 
잠시 후에는 여러분도 그것을 볼 수 있습니다. 혼란, 마치 수십 개의 거대한 허리케인이 뒤집히는 것처럼 갑작스러운 난기류의 통풍.","abyssalGasGiant_turb2:""센서, 보고합니다.""",
abyssalGasGiantTurbulence2,DialogOptionSelected,$option == abyssalGasGiant_turb2,,"""대규모 폭풍 시스템. 갑작스러운 열 이상 현상, 음, 상대적으로 말하자면. 일종의 용승 현상이죠."" 센서 담당자가 속사로 응답합니다. 그들은 명확한 답을 얻지 못하는 것을 좋아하지 않는다는 것을 알고 있습니다.
 
""중량 측정을 강화합니다. 구름 아래에 뭔가 숨어 있으면 그걸로 보여줄 것입니다.""
 
그들은 콘솔을 탭하여 $의 새로운 하위 제품군을 보정합니다. shipOrFleet 센서 네트워크. 시스템이 지구에 맞게 자체 조정되면서 시간이 흐르면서 공유 디스플레이에서 측정값의 추정 정확도가 꾸준히 상승합니다. 판독값이 선명해지고 명확해지며 $entityName.
 
의 질량 밀도를 매핑하기 시작합니다. 동시에 이상 현상이 가라앉고 폭풍 세포가 달 크기만큼 대기를 회전하게 됩니다.",abyssalGasGiant_turb3:계속,
abyssalGasGiantTurbulence3,DialogOptionSelected,$option == abyssalGasGiant_turb3,,"센서가 점점 더 불안해 보이고, 센서 인터페이스 사이를 빠르게 전환하여 원격 측정을 대조합니다.
 
""함장님, 원인을 확인할 수 없습니다. 엄청난 양의 에너지가 대기 중으로 방출되었습니다. 용승 같은... 질량 판독값에는 아무 것도 표시되지 않습니다. 예상치 못한 구조물이나 물체, 자연적이든 아니든.""
 
Tactical은 눈살을 찌푸리고 의심스러워하며 말합니다. ""이건 $shipOrFleet이 도착할 때 발생합니까? 마음에 들지 않습니다.""","abyssalGasGiant_turb4:""모든 스테이션이 준비되었습니다. 센서, 변화가 있으면 알림을 요청하세요.""
100:defaultLeave:""나도 그것을 좋아하지 않는다. 네비, 우릴 여기서 꺼내줘.""",
abyssalGasGiantTurbulence4,DialogOptionSelected,$option == abyssalGasGiant_turb4,"FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo","귀하의 주문이 승인되고 이행되었습니다. 센서 담당관은 팀의 경계 태세를 유지하고 다른 모든 사람들은 준비 상태에 있습니다.
 
아래에서는 $entityName 가 만족스럽게 회전하고 있으며, 거대한 대기 흐름이 전투를 벌이는 동안 그림자 쪽이 때때로 번개 조각으로 빛납니다.",,
abyssalGasGiantTurbulenceRevisit,OpenInteractionDialog,"$market.isPlanetConditionMarketOnly
$abyssalGasGiantTurbulence score:100
$visited","ShowDefaultVisual
FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo","귀하의 $shipOrFleet이 $entityName.
 
에 접근합니다. 귀하가 돌아오자마자 센서 담당자는 다시는 방심하지 않기로 결정했습니다. 센서 네트는 고강도로 설정되고 중량 측정 제품군에는 이전에 수집된 교정 데이터가 로드됩니다.
 
비정상적인 난류의 징후는 없습니다. 단지 대기 띠가 기어다니는 것, 번개 폭풍이 그 가장자리가 만나는 곳에서 깜박이는 것뿐인데, 마치 머나먼 성운에서 함대가 전투를 벌이는 것처럼 말입니다.",,
,,,,,,
# Rogue planetoid in abyssal space; cleaned up mining OP,,,,,,
abyssalPlanetoidMiningOp,OpenInteractionDialog,"$market.isPlanetConditionMarketOnly
$abyssalPlanetoidMiningOp score:100","ShowDefaultVisual
$visited = true","귀하의 $shipOrFleet이 $entityName 에 접근합니다.
 
예비 표면 스캔을 통해 이 소행성 범주에 대한 예상 질량 밀도의 특정 불일치가 드러났습니다.
 
귀하의 센서 담당자는 더 높은 출력과 해상도로 추가 청소를 명령합니다. 상황에 대한 그림이 나타나기 시작합니다. 유용한 원소의 대규모 매장지가 추출되었으며, 표면 퇴적물이든 심부 정맥이든 발굴 현장이 자연 상태에 가까운 상태로 조심스럽게 복원되었습니다. 샤프트가 채워지고 광미가 추출 필드 위에 고르게 퍼져 채워졌습니다.
 
센서는 경력 초기에 주변 채굴에 일했던 운영 책임자와 상담합니다. Ops는 암울해 보입니다.","abyssalPlanetoid_miningOp2:""뭔데요, 국장님?""",
abyssalPlanetoidMiningOp2,DialogOptionSelected,$option == abyssalPlanetoid_miningOp2,"FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo","""잘 보지 마세요, $playerSirOrMadam."" Ops가 풍화된 얼굴을 당신에게로 돌리며 말했습니다.
 
""예, 인디 광부나 스캐브일 수도 있었습니다. 그럴 수도 있었죠. 하지만 아무 것도 없습니다. 임시 작업도 없고 기둥도 없습니다. , 트레드 트랙이 없습니다. 죽은 파워 셀과 식량 포장지가 어둠 속의 별처럼 흩어져 있어야 합니다. 아무것도 아닙니다.""
 
작전원이 눈살을 찌푸립니다. ""이렇게 청소하는 사람은 아무도 없어요. 심지어 Tachy 자동 채굴자도 마찬가지죠. 이익이 없어요. 특히 여기서는요.""",,
abyssalPlanetoidMiningOpRevisit,OpenInteractionDialog,"$market.isPlanetConditionMarketOnly
$abyssalPlanetoidMiningOp score:100
$visited","ShowDefaultVisual
FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo"," 귀하의 $shipOrFleet이 $entityName 에 접근합니다.
 
대규모 채굴 작업의 희미한 흔적이 남아 있으며 이전처럼 의심스러울 정도로 깔끔하고, 참회하는 Luddic 암석 정원사처럼 깔끔합니다. 센서 기록에는 마지막 스캔 이후 중요한 변화가 표시되지 않습니다.",,
,,,,,,
"# Ghost ship around rogue abyssal stellar entity
""AI cores"" variation",,,,,,
GS_AI_CORES_open,OpenInteractionDialog,"$tag:salvageable
$gsType == GS_AI_CORES score:1000
!$explored","ShowDefaultVisual
PrintWreckDescription",$shipOrFleet이 $aOrAn $nameInText 에 접근합니다.,"GS_AI_CORES_cont1:폭발시킨다
defaultLeave:떠난다",
GS_AI_CORES_cont1Sel,DialogOptionSelected,$option == GS_AI_CORES_cont1,"$explored = true
UniqueEncounter setInteractedWith $gsType","외부 선체는 맞춤 복장이나 맞춤 제작 없이 대장간에서 갓 나온 것처럼 이상할 정도로 깨끗합니다.
 
구조대가 외부를 뚫고 들어가자 다른 이야기를 발견했습니다. 조잡하게 고정된 전원 도관과 냉각수 튜브가 선체를 통해 우연히 조작되었습니다. 선박의 샤프트와 복도. 안전문은 열려 있고 해치는 구불구불한 케이블 묶음에 접근할 수 있도록 뚫려 있습니다. 그것은 고품질의 작업이 아닙니다. 때때로 전원이 꺼진 유지 보수 드론, 인간 기술자를 지원하기 위한 어리석은 자동 장치는 명백한 범인을 암시합니다.
 
구조원은 핵심 함선 시스템에 대한 접근 권한을 확보하기 위해 수많은 절단 작업을 수행해야 합니다. 위험한 것은 아니고 단지 불편할 뿐입니다. 케이스 모양에서 AI 코어 3개, 감마 2개, 베타 1개를 발견한 것은 선체 부피의 실제 중심점 근처입니다. 동력이 공급되지 않고 냉각수가 파이프에 응결되어 있습니다.",GS_AI_CORES_cont2:계속,
GS_AI_CORES_cont2Sel,DialogOptionSelected,$option == GS_AI_CORES_cont2,$salvageLeaveText = Leave 0,"그러나 법적으로 문제가 있으면 가치 있는 것으로 보였던 발견은 파산입니다. AI 코어는 마치 한때 사이버네틱 초지능이 살았던 곳에 완벽한 무의 구체가 나타난 것처럼 속이 비어 있습니다.
 
우주선의 컴퓨터 메모리에는 답이 없습니다. 처음부터 무시되었으며 여전히 대장간 요람에 있다고 확신하는 것 같습니다.","salExplore:선박의 잔해 가치 평가
defaultLeave:떠난다",
,,,,,,
"Abyssal ghost ships, ""Tri-Tachyon"" variation",,,,,,
GS_TRI_TACHYON_open,OpenInteractionDialog,"$tag:salvageable
$gsType == GS_TRI_TACHYON score:1000
!$explored","ShowDefaultVisual
PrintWreckDescription",$shipOrFleet이 $aOrAn $nameInText 에 접근합니다.,"GS_TRI_TACHYON_cont1:탐색하기
defaultLeave:떠난다",
